ensembl_gene_id,SRR28352555,SRR28352556,SRR28352557,SRR28352561,SRR8327813,SRR8327814,SRR8327817,SRR8327818
ENSMUSG00000084079,9.406338651570864e-17,9.406338651570864e-17,9.406338651570864e-17,9.406338651570864e-17,1.343646468218395,1.3019404808933934,-1.3227934745558947,-1.3227934745558947
ENSMUSG00000084277,-1.8828240543377172e-16,-1.8828240543377172e-16,-1.8828240543377172e-16,-1.8828240543377172e-16,-1.2776592832022224,-1.2776592832022224,1.7626061999821578,0.7927123664222882
ENSMUSG00000118164,0.10151106110281098,0.28692676374675,0.16497854289921232,-0.5534163677487733,-1.270283806792818,1.5146167167844835,-1.270283806792818,1.0259508968011528
ENSMUSG00000113234,-0.11604650344250458,0.027603732646781634,0.1531475382244977,-0.06470476742877436,-0.7614750142317267,-0.7614750142317267,2.28442504269518,-0.7614750142317267
ENSMUSG00000080904,1.9855767459687794e-16,1.9855767459687794e-16,1.9855767459687794e-16,1.9855767459687794e-16,-1.3164673030987442,-1.3164673030987442,1.5003903297806673,1.1325442764168203
ENSMUSG00000067736,0.28649706101745015,-0.3005412072680948,-0.3005412072680948,0.31458535351874106,-2.225357747123776,0.8950205333446147,0.657167173505819,0.6731700402733418
ENSMUSG00000121581,0,0,0,0,-0.7637626158259734,2.29128784747792,-0.7637626158259734,-0.7637626158259734
ENSMUSG00000100405,4.1034197781590533e-16,4.1034197781590533e-16,4.1034197781590533e-16,4.1034197781590533e-16,-2.289986911093115,0.6930438058651948,0.7820918470823028,0.8148512581456158
ENSMUSG00000103034,0.007125778925689212,0.014886079888327144,-0.009963282273698174,-0.01204857654031777,-1.3225380175264296,-1.3225380175264296,1.3616274118616565,1.2834486231912032
ENSMUSG00000102070,-0.033216096720971575,-0.017808172240653983,0.021215142870572804,0.02980912609105443,1.181160275851375,-1.3190177705354826,-1.3190177705354826,1.4568752652195907
ENSMUSG00000084093,-0.06137705729291197,-0.06137705729291197,0.1841311718787354,-0.06137705729291197,-1.3004585345699087,-1.3004585345699087,1.608699253419556,0.9922178157202611
ENSMUSG00000114129,0.1417647269991542,0.08002745471314134,0.06219810691908066,-0.283990288631376,-0.7576817317828629,2.273045195348589,-0.7576817317828629,-0.7576817317828629
ENSMUSG00000121602,-1.065294404638209e-16,-1.065294404638209e-16,-1.065294404638209e-16,-1.065294404638209e-16,-0.7637626158259732,-0.7637626158259732,2.2912878474779204,-0.7637626158259732
ENSMUSG00000064288,0.058756790558600114,-0.1033136970222165,0.11010719804958478,-0.06555029158596862,-1.3169437486626236,1.1902746221651523,1.443612875160095,-1.3169437486626236
ENSMUSG00000074846,0.044767345024810785,-0.023026605109508064,-0.03583462783642379,0.014093887921122362,-1.3223034245926182,-1.3223034245926182,1.35422140769139,1.2903854414938478
ENSMUSG00000065947,-0.04036974897334764,-0.014548399670919636,0.06768872162016899,-0.012770572975899957,0.8435204757810809,-2.2884111110221323,0.7470125402047252,0.6978780950363255
ENSMUSG00000118272,-5.542156584792252e-17,-5.542156584792252e-17,-5.542156584792252e-17,-5.542156584792252e-17,-0.7637626158259733,2.2912878474779204,-0.7637626158259733,-0.7637626158259733
ENSMUSG00000111228,0.02492795672645665,-0.04492886683031603,0.0571502796105355,-0.03714936950667657,-0.7633650155607343,-0.7633650155607343,-0.7633650155607343,2.290095046682203
ENSMUSG00000100862,-0.050827077548199553,-0.008698283444600146,0.014643478095736384,0.044881882897062415,-1.316229781189267,-1.316229781189267,1.1355798633485454,1.496879699029988
ENSMUSG00000064358,-0.06886465476414773,-0.019272055685006895,0.06127087027801223,0.02686584017114104,-0.7632392784639014,-0.7632392784639014,-0.7632392784639014,2.2897178353917043
ENSMUSG00000081485,0.03578436934841966,0.037766562847879805,-0.052983770804717514,-0.02056716139158149,-0.7634386505336999,-0.7634386505336999,-0.7634386505336999,2.290315951601099
ENSMUSG00000059064,-0.07491153585402947,-0.07491153585402947,0.2247346075620884,-0.07491153585402947,0.9337344631107056,-2.2705028473105804,0.7462977910657873,0.5904705931340875
ENSMUSG00000057322,0.007202021846312556,0.0011282497504903444,0.004436761796128846,-0.012767033392931747,-1.2876494936085732,0.8589308782119008,-1.2876494936085732,1.7163681090052443
ENSMUSG00000091955,0.04824889164378103,-0.015411855708869897,-0.05329682925389582,0.02045979331898504,-1.312381760612411,-1.312381760612411,1.0834802297579254,1.5412832914668964
ENSMUSG00000068243,-0.25818518360838477,-0.25818518360838477,0.2517872403647884,0.2645831268519813,-0.7490705227427367,-0.7490705227427367,-0.7490705227427367,2.2472115682282103
ENSMUSG00000116563,1.1824029733206687e-16,1.1824029733206687e-16,1.1824029733206687e-16,1.1824029733206687e-16,-0.7637626158259735,-0.7637626158259735,2.29128784747792,-0.7637626158259735
ENSMUSG00000082662,0,0,0,0,-1.216532018070891,1.951446773683221,-1.216532018070891,0.48161726245856096
ENSMUSG00000064354,0.032166318869434184,0.0334338175552357,0.0026303880993427966,-0.06823052452401078,-2.2698276263071406,0.6212030209469136,0.6050031678094514,1.0436214375507753
ENSMUSG00000084300,-0.0380420245922475,-0.0380420245922475,-0.0380420245922475,0.11412607377674328,2.288443846653071,-0.7628146155510236,-0.7628146155510236,-0.7628146155510236
ENSMUSG00000064360,-0.02889776857176478,-0.06059581295586723,0.020937677465674757,0.06855590406195677,0.5426720294378797,0.5926222981547384,-2.2558731621697445,1.1205788345771253
ENSMUSG00000080921,-0.1172128175948069,0.351638452784421,-0.1172128175948069,-0.1172128175948069,-1.9520092712859267,1.3816837127574555,0.975491746517165,-0.4051661879886929
ENSMUSG00000044285,0.009972920752075658,0.0316794833504266,-0.006007067538337385,-0.035645336564165846,-2.2180704778955067,0.8886719321223003,1.11434668014122,0.21505186563198622
ENSMUSG00000113240,-0.053476455028214756,0.04377394251354202,-0.06709412979590228,0.07679664231057477,-1.2570087404793253,1.8334377775799522,-1.2570087404793253,0.6805797033786982
ENSMUSG00000101567,0.11083342611304693,-0.08706725318299761,-0.07080183670801925,0.04703566377796944,1.4165239423108862,-1.318492477721416,-1.318492477721416,1.220461013131946
ENSMUSG00000090467,-0.4131241882438344,0.27012723505717,-0.059520992559374104,0.2025179457460374,1.5164208811410844,-1.284977781770065,-1.284977781770065,1.053534682399045
ENSMUSG00000117209,0.06635784623705686,-0.13353440641556993,-0.13353440641556993,0.200710966594083,-0.7593664502255664,-0.7593664502255664,2.278099350676699,-0.7593664502255664
ENSMUSG00000082423,-0.1975350581916772,-0.1975350581916772,0.2561527224300328,0.13891739395332198,-0.7548204831845408,-0.7548204831845408,-0.7548204831845408,2.264461449553622
ENSMUSG00000090733,-0.3894364284418007,0.08245361007663668,0.27998840238849126,0.026994415976672254,-1.2911790546539745,-1.2911790546539745,1.0745629637081269,1.5077951455998215
ENSMUSG00000054312,-0.010229436915521299,0.01627835535939167,-0.017035089496077148,0.010986171052207032,1.4797079342508985,-1.317840804917396,-1.317840804917396,1.155973675583893
ENSMUSG00000112351,0,0,0,0,-0.7637626158259733,-0.7637626158259733,-0.7637626158259733,2.29128784747792
ENSMUSG00000095288,-0.04864076719915298,0.14630645644341445,-0.036741020874866706,-0.06092466836939489,-0.762188011513476,-0.762188011513476,-0.762188011513476,2.286564034540428
ENSMUSG00000069309,0,0,0,0,-1.322869485342071,1.3285834595814905,1.3171555111026512,-1.322869485342071
