ensembl_gene_id,gene_symbol,SRR28352555,SRR28352556,SRR28352557,SRR28352561,SRR8327813,SRR8327814,SRR8327817,SRR8327818
ENSMUSG00000000381,Wap,0,0,0,1,0,0,0,0
ENSMUSG00000000384,Tbrg4,1463.6350000000002,1291.413,1407.524,1619.788,0,0,1,103.521
ENSMUSG00000000385,Tmprss2,4,4,8,10,0,0,0,0
ENSMUSG00000000386,Mx1,122.812,106.95399999999998,79.714,122.32900000000001,0,0,0,7.711
ENSMUSG00000000392,Fap,97.01000000000002,96.12000000000002,155,130.85800000000003,0,0,0,13.999
ENSMUSG00000000394,Gcg,1,1,2,2,0,0,0,0
ENSMUSG00000000399,Ndufa9,4725.237,4402.428000000001,4898.445,5192.439,2,0,2,333
ENSMUSG00000000402,Egfl6,55.011,55.115,84.962,52.488,0,0,0,4.189
ENSMUSG00000000409,Lck,108.00200000000001,104,77.02000000000001,92.08099999999999,0,0,0,7
ENSMUSG00000000411,Tssk3,1,0,1,1,0,0,0,0
ENSMUSG00000000416,Cttnbp2,1115.3760000000002,990.4709999999999,1232.5159999999998,1179.582,1,0,1,63.999
ENSMUSG00000000420,Galnt1,2303.171,2053.614,2478.4629999999997,2537.4390000000003,0,1,3,161.001
ENSMUSG00000000435,Myf5,1,0,1,3,0,0,0,0
ENSMUSG00000000439,Mkrn2,1326.8380000000002,1140.0359999999998,1186.1789999999999,1276.886,1,1,1,76
ENSMUSG00000000440,Pparg,124.138,61.001000000000005,66,84.914,0,0,0,11
ENSMUSG00000000441,Raf1,5002.056,4503.602,4755.920000000001,5261.968999999999,4,2,4,304
ENSMUSG00000000486,Septin1,197.26,122,145.999,164.406,0,0,0,14.001
ENSMUSG00000000489,Pdgfb,443.30899999999997,320.934,420.144,426.406,0,0,1,34
ENSMUSG00000000530,Acvrl1,395.755,300.428,356.04200000000003,435.293,0,0,0,47.001000000000005
ENSMUSG00000000531,Tamalin,274.223,231.931,255.935,269.075,1,0,0,11.96
ENSMUSG00000000532,Acvr1b,2267.899,1926.875,2120.985,2315.107,1,1,2,100
ENSMUSG00000000538,Tom1l2,16313.203,14369.001,15461.857,17932.959,9,8,12,1111
ENSMUSG00000000544,Gpa33,1,0,0,1,0,0,0,0
ENSMUSG00000000552,Zfp385a,1595.364,1429.71,1622.636,1880.757,6,2,4,80
ENSMUSG00000000555,Itga5,194.968,147.156,205.99999999999997,182,0,1,1,15
ENSMUSG00000000560,Gabra2,1242.062,1172.5589999999997,1296.2569999999998,1236.291,0,0,2,78.855
ENSMUSG00000000561,Wdr77,2555.37,2265.7240000000006,2558.6980000000003,2877.2999999999997,4,3,2,170
ENSMUSG00000000562,Adora3,76.90400000000001,58.613,60.711,52.778999999999996,0,0,0,11.719
ENSMUSG00000000563,Atp5pb,11105.317000000001,10653.111,10492.892999999998,12819.539,2,6,2,733.3290000000001
