ensembl_gene_id,gene_symbol,expressed_in_GSE261676,expressed_in_GSE123919,n_samples_expressed_GSE261676,n_samples_expressed_GSE123919,overlap_status
ENSMUSG00000019210,Atp6v1e1,TRUE,TRUE,4,8,shared
ENSMUSG00000019214,Chtf18,TRUE,TRUE,4,5,shared
ENSMUSG00000019232,Etnppl,TRUE,TRUE,4,4,shared
ENSMUSG00000019235,Rps6kl1,TRUE,TRUE,4,8,shared
ENSMUSG00000019254,Ppp1r12c,TRUE,TRUE,4,8,shared
ENSMUSG00000019256,Ahr,TRUE,TRUE,4,5,shared
ENSMUSG00000019261,Map1s,TRUE,TRUE,4,8,shared
ENSMUSG00000019278,Dpep1,TRUE,TRUE,4,5,shared
ENSMUSG00000019295,Tmem129,TRUE,TRUE,4,7,shared
ENSMUSG00000019297,Nop9,TRUE,TRUE,4,6,shared
ENSMUSG00000019302,Atp6v0a1,TRUE,TRUE,4,8,shared
ENSMUSG00000019303,Psmc3ip,TRUE,TRUE,4,5,shared
ENSMUSG00000019320,Noxo1,TRUE,TRUE,4,5,shared
ENSMUSG00000019338,Zfp687,TRUE,TRUE,4,8,shared
ENSMUSG00000019359,Gdpd2,TRUE,TRUE,4,8,shared
ENSMUSG00000019362,D8Ertd738e,TRUE,TRUE,4,8,shared
ENSMUSG00000019370,Calm3,TRUE,TRUE,4,8,shared
ENSMUSG00000019373,Cops3,TRUE,TRUE,4,6,shared
ENSMUSG00000019428,Fkbp8,TRUE,TRUE,4,8,shared
ENSMUSG00000019432,Ddx39b,TRUE,TRUE,4,8,shared
ENSMUSG00000019433,Gipc1,TRUE,TRUE,4,8,shared
ENSMUSG00000019437,Tlcd1,TRUE,TRUE,4,5,shared
ENSMUSG00000019461,Plscr3,TRUE,TRUE,4,8,shared
ENSMUSG00000019464,Ptger1,TRUE,TRUE,4,1,shared
ENSMUSG00000019467,Arhgef25,TRUE,TRUE,4,7,shared
ENSMUSG00000019470,Xab2,TRUE,TRUE,4,7,shared
ENSMUSG00000019471,Cdc37,TRUE,TRUE,4,8,shared
ENSMUSG00000019478,Rab4a,TRUE,TRUE,4,8,shared
ENSMUSG00000019487,Trip10,TRUE,TRUE,4,6,shared
ENSMUSG00000019494,Cops6,TRUE,TRUE,4,7,shared
ENSMUSG00000019505,Ubb,TRUE,TRUE,4,8,shared
ENSMUSG00000019518,Ap4m1,TRUE,TRUE,4,5,shared
ENSMUSG00000019528,Gyg1,TRUE,TRUE,4,7,shared
ENSMUSG00000019539,Rcn3,TRUE,TRUE,4,8,shared
ENSMUSG00000019558,Slc6a8,TRUE,TRUE,4,6,shared
ENSMUSG00000019564,Arid3a,TRUE,TRUE,4,5,shared
ENSMUSG00000019577,Pdk4,TRUE,TRUE,4,5,shared
ENSMUSG00000019578,Ubxn6,TRUE,TRUE,4,7,shared
ENSMUSG00000019579,Mydgf,TRUE,TRUE,4,7,shared
ENSMUSG00000019590,Cyb561,TRUE,TRUE,4,7,shared
ENSMUSG00000019647,Sema6a,TRUE,TRUE,4,8,shared
ENSMUSG00000019659,Ccdc12,TRUE,TRUE,4,6,shared
ENSMUSG00000019689,Fmc1,TRUE,TRUE,4,6,shared
ENSMUSG00000019699,Akt3,TRUE,TRUE,4,7,shared
ENSMUSG00000019710,Mrpl24,TRUE,TRUE,4,5,shared
ENSMUSG00000019715,Gle1,TRUE,TRUE,4,6,shared
ENSMUSG00000019718,L3hypdh,TRUE,TRUE,4,4,shared
ENSMUSG00000019726,Lyst,TRUE,TRUE,4,7,shared
ENSMUSG00000019731,Slc35e1,TRUE,TRUE,4,7,shared
ENSMUSG00000019732,Calr3,TRUE,TRUE,4,5,shared
ENSMUSG00000019734,Tmc4,TRUE,TRUE,4,5,shared
ENSMUSG00000019737,Syne4,TRUE,TRUE,4,6,shared
ENSMUSG00000019738,Polr2i,TRUE,TRUE,4,5,shared
ENSMUSG00000019756,Prl8a1,TRUE,TRUE,3,3,shared
ENSMUSG00000019761,Krt10,TRUE,TRUE,4,5,shared
ENSMUSG00000019763,Rmnd1,TRUE,TRUE,4,7,shared
ENSMUSG00000019768,Esr1,TRUE,TRUE,4,5,shared
ENSMUSG00000019773,Fbxo5,TRUE,TRUE,3,3,shared
ENSMUSG00000019774,Mtrf1l,TRUE,TRUE,4,7,shared
ENSMUSG00000019775,Rgs17,TRUE,TRUE,4,7,shared
ENSMUSG00000019777,Hdac2,TRUE,TRUE,4,8,shared
ENSMUSG00000019782,Rwdd1,TRUE,TRUE,4,6,shared
ENSMUSG00000019785,Clvs2,TRUE,TRUE,4,6,shared
ENSMUSG00000019789,Hey2,TRUE,TRUE,4,7,shared
ENSMUSG00000019790,Stxbp5,TRUE,TRUE,4,8,shared
ENSMUSG00000019791,Hint3,TRUE,TRUE,4,5,shared
ENSMUSG00000019792,Trmt11,TRUE,TRUE,4,5,shared
ENSMUSG00000019794,Katna1,TRUE,TRUE,4,5,shared
ENSMUSG00000019795,Pcmt1,TRUE,TRUE,4,8,shared
ENSMUSG00000019796,Lrp11,TRUE,TRUE,4,8,shared
ENSMUSG00000019797,Mtres1,TRUE,TRUE,4,6,shared
ENSMUSG00000019802,Sec63,TRUE,TRUE,4,5,shared
ENSMUSG00000019804,Snx3,TRUE,TRUE,4,7,shared
ENSMUSG00000019806,Aig1,TRUE,TRUE,4,8,shared
ENSMUSG00000019808,Adat2,TRUE,TRUE,4,3,shared
ENSMUSG00000019809,Pex3,TRUE,TRUE,4,6,shared
ENSMUSG00000019810,Fuca2,TRUE,TRUE,4,6,shared
ENSMUSG00000019813,Cep57l1,TRUE,TRUE,4,5,shared
ENSMUSG00000019814,Ltv1,TRUE,TRUE,4,5,shared
ENSMUSG00000019817,Plagl1,TRUE,TRUE,4,8,shared
ENSMUSG00000019818,Cd164,TRUE,TRUE,4,8,shared
ENSMUSG00000019820,Utrn,TRUE,TRUE,4,8,shared
ENSMUSG00000019822,Smpd2,TRUE,TRUE,4,5,shared
ENSMUSG00000019823,Mical1,TRUE,TRUE,4,8,shared
ENSMUSG00000019826,Zbtb24,TRUE,TRUE,4,6,shared
ENSMUSG00000019831,Wasf1,TRUE,TRUE,4,8,shared
ENSMUSG00000019832,Rab32,TRUE,TRUE,4,4,shared
ENSMUSG00000019837,Gtf3c6,TRUE,TRUE,4,5,shared
ENSMUSG00000019838,Slc16a10,TRUE,TRUE,4,1,shared
ENSMUSG00000019841,Rev3l,TRUE,TRUE,4,5,shared
ENSMUSG00000019842,Traf3ip2,TRUE,TRUE,4,7,shared
ENSMUSG00000019843,Fyn,TRUE,TRUE,4,8,shared
ENSMUSG00000019845,Tube1,TRUE,TRUE,4,4,shared
ENSMUSG00000019846,Lama4,TRUE,TRUE,4,7,shared
ENSMUSG00000019848,Popdc3,TRUE,TRUE,4,6,shared
ENSMUSG00000019849,Prep,TRUE,TRUE,4,6,shared
ENSMUSG00000019850,Tnfaip3,TRUE,TRUE,4,3,shared
ENSMUSG00000019851,Perp,TRUE,TRUE,4,7,shared
ENSMUSG00000019852,Arfgef3,TRUE,TRUE,4,8,shared
ENSMUSG00000019853,Hebp2,TRUE,TRUE,4,5,shared
ENSMUSG00000019854,Reps1,TRUE,TRUE,4,7,shared
ENSMUSG00000019856,Fam184a,TRUE,TRUE,4,7,shared
ENSMUSG00000019857,Asf1a,TRUE,TRUE,4,5,shared
ENSMUSG00000019861,Gopc,TRUE,TRUE,4,8,shared
ENSMUSG00000019863,Qrsl1,TRUE,TRUE,4,6,shared
ENSMUSG00000019864,Rtn4ip1,TRUE,TRUE,4,6,shared
ENSMUSG00000019866,Crybg1,TRUE,TRUE,4,1,shared
ENSMUSG00000019867,Gje1,TRUE,TRUE,1,3,shared
ENSMUSG00000019868,Vta1,TRUE,TRUE,4,6,shared
ENSMUSG00000019872,Smpdl3a,TRUE,TRUE,4,8,shared
ENSMUSG00000019873,Reep3,TRUE,TRUE,4,6,shared
ENSMUSG00000019874,Fabp7,TRUE,TRUE,4,6,shared
ENSMUSG00000019876,Pkib,TRUE,TRUE,4,8,shared
ENSMUSG00000019877,Serinc1,TRUE,TRUE,4,8,shared
ENSMUSG00000019878,Hsf2,TRUE,TRUE,4,7,shared
ENSMUSG00000019883,Echdc1,TRUE,TRUE,4,5,shared
ENSMUSG00000019888,Mgat4c,TRUE,TRUE,4,6,shared
ENSMUSG00000019889,Ptprk,TRUE,TRUE,4,5,shared
ENSMUSG00000019890,Nts,TRUE,TRUE,4,7,shared
ENSMUSG00000019891,Dcbld1,TRUE,TRUE,4,7,shared
ENSMUSG00000019892,Lrriq1,TRUE,TRUE,4,3,shared
ENSMUSG00000019894,Slc6a15,TRUE,TRUE,4,7,shared
ENSMUSG00000019897,Ccdc59,TRUE,TRUE,4,5,shared
ENSMUSG00000019899,Lama2,TRUE,TRUE,4,7,shared
ENSMUSG00000019906,Lin7a,TRUE,TRUE,4,6,shared
ENSMUSG00000019907,Ppp1r12a,TRUE,TRUE,4,7,shared
ENSMUSG00000019916,P4ha1,TRUE,TRUE,4,7,shared
ENSMUSG00000019917,Septin10,TRUE,TRUE,4,6,shared
ENSMUSG00000019920,Lims1,TRUE,TRUE,4,8,shared
ENSMUSG00000019923,Zwint,TRUE,TRUE,4,8,shared
ENSMUSG00000019927,Ube2d1,TRUE,TRUE,4,7,shared
ENSMUSG00000019929,Dcn,TRUE,TRUE,4,8,shared
ENSMUSG00000019933,Mrln,TRUE,TRUE,4,4,shared
ENSMUSG00000019935,Slc17a8,TRUE,TRUE,4,2,shared
ENSMUSG00000019942,Cdk1,TRUE,TRUE,4,3,shared
ENSMUSG00000019943,Atp2b1,TRUE,TRUE,4,8,shared
ENSMUSG00000019944,Rhobtb1,TRUE,TRUE,4,5,shared
ENSMUSG00000019947,Arid5b,TRUE,TRUE,4,8,shared
ENSMUSG00000019948,Actr6,TRUE,TRUE,4,5,shared
ENSMUSG00000019951,Bltp3b,TRUE,TRUE,4,7,shared
ENSMUSG00000019952,Poc1b,TRUE,TRUE,4,6,shared
ENSMUSG00000019960,Dusp6,TRUE,TRUE,4,7,shared
ENSMUSG00000019961,Tmpo,TRUE,TRUE,4,7,shared
ENSMUSG00000019966,Kitl,TRUE,TRUE,4,6,shared
ENSMUSG00000019969,Psen1,TRUE,TRUE,4,8,shared
ENSMUSG00000019970,Sgk1,TRUE,TRUE,4,6,shared
ENSMUSG00000019971,Cep290,TRUE,TRUE,4,6,shared
ENSMUSG00000019975,Ikbip,TRUE,TRUE,4,7,shared
ENSMUSG00000019977,Hbs1l,TRUE,TRUE,4,7,shared
ENSMUSG00000019978,Epb41l2,TRUE,TRUE,4,8,shared
ENSMUSG00000019979,Apaf1,TRUE,TRUE,4,6,shared
ENSMUSG00000019984,Med23,TRUE,TRUE,4,6,shared
ENSMUSG00000019986,Ahi1,TRUE,TRUE,4,6,shared
ENSMUSG00000019988,Nedd1,TRUE,TRUE,4,4,shared
ENSMUSG00000019990,Pde7b,TRUE,TRUE,4,5,shared
ENSMUSG00000019996,Map7,TRUE,TRUE,4,7,shared
ENSMUSG00000019997,Ccn2,TRUE,TRUE,4,8,shared
ENSMUSG00000019998,Stx7,TRUE,TRUE,4,8,shared
ENSMUSG00000020000,Moxd1,TRUE,TRUE,4,8,shared
ENSMUSG00000020003,Pex7,TRUE,TRUE,4,7,shared
ENSMUSG00000020009,Ifngr1,TRUE,TRUE,4,5,shared
ENSMUSG00000020014,Cfap54,TRUE,TRUE,4,5,shared
ENSMUSG00000020015,Cdk17,TRUE,TRUE,4,7,shared
ENSMUSG00000020017,Hal,TRUE,TRUE,4,1,shared
ENSMUSG00000020018,Snrpf,TRUE,TRUE,4,7,shared
ENSMUSG00000020019,Ntn4,TRUE,TRUE,4,8,shared
ENSMUSG00000020021,Fgd6,TRUE,TRUE,4,3,shared
ENSMUSG00000020022,Ndufa12,TRUE,TRUE,4,8,shared
ENSMUSG00000020023,Tmcc3,TRUE,TRUE,4,6,shared
ENSMUSG00000020024,Cep83,TRUE,TRUE,4,5,shared
ENSMUSG00000020027,Socs2,TRUE,TRUE,4,8,shared
ENSMUSG00000020029,Nudt4,TRUE,TRUE,4,8,shared
ENSMUSG00000020032,Nuak1,TRUE,TRUE,4,7,shared
ENSMUSG00000020034,Tcp11l2,TRUE,TRUE,4,8,shared
ENSMUSG00000020038,Cry1,TRUE,TRUE,4,7,shared
ENSMUSG00000020042,Abtb3,TRUE,TRUE,4,7,shared
ENSMUSG00000020044,Timp3,TRUE,TRUE,4,8,shared
ENSMUSG00000020048,Hsp90b1,TRUE,TRUE,4,8,shared
ENSMUSG00000020053,Igf1,TRUE,TRUE,4,5,shared
ENSMUSG00000020056,Washc3,TRUE,TRUE,4,6,shared
ENSMUSG00000020057,Dram1,TRUE,TRUE,4,2,shared
ENSMUSG00000020061,Mybpc1,TRUE,TRUE,1,4,shared
ENSMUSG00000020063,Sirt1,TRUE,TRUE,4,5,shared
ENSMUSG00000020064,Herc4,TRUE,TRUE,4,5,shared
ENSMUSG00000020069,Hnrnph3,TRUE,TRUE,4,5,shared
ENSMUSG00000020070,Rufy2,TRUE,TRUE,4,7,shared
ENSMUSG00000020072,Pbld2,TRUE,TRUE,4,2,shared
ENSMUSG00000020074,Ccar1,TRUE,TRUE,4,7,shared
ENSMUSG00000020075,Ddx21,TRUE,TRUE,4,6,shared
ENSMUSG00000020076,Ddx50,TRUE,TRUE,4,6,shared
ENSMUSG00000020077,Srgn,TRUE,TRUE,4,5,shared
ENSMUSG00000020078,Vps26a,TRUE,TRUE,4,7,shared
ENSMUSG00000020079,Supv3l1,TRUE,TRUE,4,7,shared
ENSMUSG00000020083,Fam241b,TRUE,TRUE,4,6,shared
ENSMUSG00000020085,Aifm2,TRUE,TRUE,4,5,shared
ENSMUSG00000020086,Macroh2a2,TRUE,TRUE,4,5,shared
ENSMUSG00000020087,Tysnd1,TRUE,TRUE,4,7,shared
ENSMUSG00000020088,Sar1a,TRUE,TRUE,4,7,shared
ENSMUSG00000020089,Ppa1,TRUE,TRUE,4,5,shared
ENSMUSG00000020091,Eif4ebp2,TRUE,TRUE,4,6,shared
ENSMUSG00000020092,Pald1,TRUE,TRUE,4,7,shared
ENSMUSG00000020097,Sgpl1,TRUE,TRUE,4,7,shared
ENSMUSG00000020098,Pcbd1,TRUE,TRUE,4,6,shared
ENSMUSG00000020099,Unc5b,TRUE,TRUE,4,5,shared
ENSMUSG00000020100,Slc29a3,TRUE,TRUE,4,8,shared
ENSMUSG00000020101,Vsir,TRUE,TRUE,4,7,shared
ENSMUSG00000020102,Slc16a7,TRUE,TRUE,4,5,shared
ENSMUSG00000020105,Lrig3,TRUE,TRUE,2,4,shared
ENSMUSG00000020107,Anapc16,TRUE,TRUE,4,7,shared
ENSMUSG00000020108,Ddit4,TRUE,TRUE,4,8,shared
ENSMUSG00000020109,Dnajb12,TRUE,TRUE,4,8,shared
ENSMUSG00000020111,Micu1,TRUE,TRUE,4,8,shared
ENSMUSG00000020114,Cand1,TRUE,TRUE,4,8,shared
ENSMUSG00000020115,Tbk1,TRUE,TRUE,4,8,shared
ENSMUSG00000020116,Pno1,TRUE,TRUE,4,6,shared
ENSMUSG00000020120,Plek,TRUE,TRUE,4,5,shared
ENSMUSG00000020121,Srgap1,TRUE,TRUE,4,8,shared
ENSMUSG00000020122,Egfr,TRUE,TRUE,4,7,shared
ENSMUSG00000020124,Usp15,TRUE,TRUE,4,8,shared
ENSMUSG00000020125,Elane,TRUE,TRUE,1,2,shared
ENSMUSG00000020128,Vps54,TRUE,TRUE,4,6,shared
ENSMUSG00000020130,Tbc1d15,TRUE,TRUE,4,5,shared
ENSMUSG00000020131,Pcsk4,TRUE,TRUE,4,4,shared
ENSMUSG00000020132,Rab21,TRUE,TRUE,4,8,shared
ENSMUSG00000020133,2310011J03Rik,TRUE,TRUE,4,8,shared
ENSMUSG00000020134,Peli1,TRUE,TRUE,4,6,shared
ENSMUSG00000020135,Apc2,TRUE,TRUE,4,8,shared
ENSMUSG00000020137,Thap2,TRUE,TRUE,4,5,shared
ENSMUSG00000020140,Lgr5,TRUE,TRUE,4,8,shared
ENSMUSG00000020142,Slc1a4,TRUE,TRUE,4,7,shared
ENSMUSG00000020143,Dock2,TRUE,TRUE,4,2,shared
ENSMUSG00000020149,Rab1a,TRUE,TRUE,4,8,shared
ENSMUSG00000020150,Gamt,TRUE,TRUE,4,8,shared
ENSMUSG00000020151,Ptprr,TRUE,TRUE,4,8,shared
ENSMUSG00000020152,Actr2,TRUE,TRUE,4,8,shared
ENSMUSG00000020153,Ndufs7,TRUE,TRUE,4,8,shared
ENSMUSG00000020154,Ptprb,TRUE,TRUE,4,6,shared
ENSMUSG00000020155,Kcnmb1,TRUE,TRUE,4,4,shared
ENSMUSG00000020156,Pwwp3a,TRUE,TRUE,4,8,shared
ENSMUSG00000020160,Meis1,TRUE,TRUE,4,6,shared
ENSMUSG00000020163,Uqcr11,TRUE,TRUE,4,8,shared
ENSMUSG00000020166,Cnot2,TRUE,TRUE,4,7,shared
ENSMUSG00000020167,Tcf3,TRUE,TRUE,4,6,shared
ENSMUSG00000020170,Frs2,TRUE,TRUE,4,5,shared
ENSMUSG00000020171,Yeats4,TRUE,TRUE,4,6,shared
ENSMUSG00000020173,Cobl,TRUE,TRUE,4,7,shared
ENSMUSG00000020175,Rab36,TRUE,TRUE,4,6,shared
ENSMUSG00000020176,Grb10,TRUE,TRUE,4,7,shared
ENSMUSG00000020178,Adora2a,TRUE,TRUE,4,5,shared
ENSMUSG00000020180,Snrpd3,TRUE,TRUE,4,7,shared
ENSMUSG00000020181,Nav3,TRUE,TRUE,4,7,shared
ENSMUSG00000020182,Ddc,TRUE,TRUE,4,5,shared
ENSMUSG00000020183,Cpm,TRUE,TRUE,2,4,shared
ENSMUSG00000020184,Mdm2,TRUE,TRUE,4,6,shared
ENSMUSG00000020186,Csrp2,TRUE,TRUE,4,7,shared
ENSMUSG00000020189,Osbpl8,TRUE,TRUE,4,7,shared
ENSMUSG00000020190,Mknk2,TRUE,TRUE,4,6,shared
ENSMUSG00000020191,Spmip7,TRUE,TRUE,2,2,shared
ENSMUSG00000020196,Cabin1,TRUE,TRUE,4,8,shared
ENSMUSG00000020198,Ap3d1,TRUE,TRUE,4,8,shared
ENSMUSG00000020205,Phlda1,TRUE,TRUE,4,7,shared
ENSMUSG00000020211,Sf3a2,TRUE,TRUE,4,8,shared
ENSMUSG00000020212,Mdm1,TRUE,TRUE,4,5,shared
ENSMUSG00000020216,Jsrp1,TRUE,TRUE,3,4,shared
ENSMUSG00000020219,Timm13,TRUE,TRUE,4,8,shared
ENSMUSG00000020220,Vps13d,TRUE,TRUE,4,8,shared
ENSMUSG00000020224,Llph,TRUE,TRUE,4,5,shared
ENSMUSG00000020225,Tmbim4,TRUE,TRUE,4,8,shared
ENSMUSG00000020227,Irak3,TRUE,TRUE,4,2,shared
ENSMUSG00000020228,Helb,TRUE,TRUE,4,6,shared
ENSMUSG00000020230,Prmt2,TRUE,TRUE,4,8,shared
ENSMUSG00000020231,Dip2a,TRUE,TRUE,4,8,shared
ENSMUSG00000020232,Hmg20b,TRUE,TRUE,4,8,shared
ENSMUSG00000020235,Fzr1,TRUE,TRUE,4,8,shared
ENSMUSG00000020238,Ncln,TRUE,TRUE,4,8,shared
ENSMUSG00000020241,Col6a2,TRUE,TRUE,4,8,shared
ENSMUSG00000020246,Hcfc2,TRUE,TRUE,4,7,shared
ENSMUSG00000020248,Nfyb,TRUE,TRUE,4,7,shared
ENSMUSG00000020250,Txnrd1,TRUE,TRUE,4,8,shared
ENSMUSG00000020251,Glt8d2,TRUE,TRUE,4,4,shared
ENSMUSG00000020253,Ppm1m,TRUE,TRUE,4,6,shared
ENSMUSG00000020255,Nopchap1,TRUE,TRUE,4,6,shared
ENSMUSG00000020256,Aldh1l2,TRUE,TRUE,4,5,shared
ENSMUSG00000020257,Wdr82,TRUE,TRUE,4,7,shared
ENSMUSG00000020258,Glyctk,TRUE,TRUE,4,4,shared
ENSMUSG00000020260,Pofut2,TRUE,TRUE,4,8,shared
ENSMUSG00000020261,Slc36a1,TRUE,TRUE,4,8,shared
ENSMUSG00000020262,Adarb1,TRUE,TRUE,4,8,shared
ENSMUSG00000020263,Appl2,TRUE,TRUE,4,7,shared
ENSMUSG00000020264,Slc36a2,TRUE,TRUE,4,6,shared
ENSMUSG00000020265,Sumo3,TRUE,TRUE,4,8,shared
ENSMUSG00000020267,Hint1,TRUE,TRUE,4,8,shared
ENSMUSG00000020268,Lyrm7,TRUE,TRUE,4,7,shared
ENSMUSG00000020271,Fbxw11,TRUE,TRUE,4,7,shared
ENSMUSG00000020272,Stk10,TRUE,TRUE,4,5,shared
ENSMUSG00000020273,Papolg,TRUE,TRUE,4,6,shared
ENSMUSG00000020277,Pfkl,TRUE,TRUE,4,8,shared
ENSMUSG00000020280,Pus10,TRUE,TRUE,4,5,shared
ENSMUSG00000020282,Rhbdf1,TRUE,TRUE,4,7,shared
ENSMUSG00000020283,Pex13,TRUE,TRUE,4,6,shared
ENSMUSG00000020284,Cfap410,TRUE,TRUE,4,7,shared
ENSMUSG00000020286,1700093K21Rik,TRUE,TRUE,2,1,shared
ENSMUSG00000020287,Mpg,TRUE,TRUE,4,6,shared
ENSMUSG00000020288,Ahsa2,TRUE,TRUE,4,8,shared
ENSMUSG00000020289,Nprl3,TRUE,TRUE,4,8,shared
ENSMUSG00000020290,Xpo1,TRUE,TRUE,4,7,shared
ENSMUSG00000020295,Hbq1a,TRUE,TRUE,4,1,shared
ENSMUSG00000020297,Nsg2,TRUE,TRUE,4,8,shared
ENSMUSG00000020300,Cpeb4,TRUE,TRUE,4,8,shared
ENSMUSG00000020305,Asb3,TRUE,TRUE,4,7,shared
ENSMUSG00000020307,Cdc34,TRUE,TRUE,4,8,shared
ENSMUSG00000020308,Tpgs1,TRUE,TRUE,4,8,shared
ENSMUSG00000020309,Chac2,TRUE,TRUE,4,6,shared
ENSMUSG00000020311,Erlec1,TRUE,TRUE,4,8,shared
ENSMUSG00000020312,Shc2,TRUE,TRUE,4,8,shared
ENSMUSG00000020315,Sptbn1,TRUE,TRUE,4,8,shared
ENSMUSG00000020319,Wdpcp,TRUE,TRUE,4,6,shared
ENSMUSG00000020321,Mdh1,TRUE,TRUE,4,8,shared
ENSMUSG00000020325,Fstl3,TRUE,TRUE,4,5,shared
ENSMUSG00000020326,Ccng1,TRUE,TRUE,4,8,shared
ENSMUSG00000020327,Fgf22,TRUE,TRUE,4,5,shared
ENSMUSG00000020328,Nudcd2,TRUE,TRUE,4,7,shared
ENSMUSG00000020329,Polrmt,TRUE,TRUE,4,6,shared
ENSMUSG00000020331,Hcn2,TRUE,TRUE,4,8,shared
ENSMUSG00000020333,Acsl6,TRUE,TRUE,4,8,shared
ENSMUSG00000020334,Slc22a4,TRUE,TRUE,4,6,shared
ENSMUSG00000020335,Zfp354b,TRUE,TRUE,4,3,shared
ENSMUSG00000020340,Cyfip2,TRUE,TRUE,4,8,shared
ENSMUSG00000020346,Mgat1,TRUE,TRUE,4,7,shared
ENSMUSG00000020349,Ppp2ca,TRUE,TRUE,4,8,shared
ENSMUSG00000020354,Sgcd,TRUE,TRUE,4,4,shared
ENSMUSG00000020358,Hnrnpab,TRUE,TRUE,4,8,shared
ENSMUSG00000020359,Phykpl,TRUE,TRUE,4,5,shared
ENSMUSG00000020361,Hspa4,TRUE,TRUE,4,8,shared
ENSMUSG00000020362,Cnot6,TRUE,TRUE,4,7,shared
ENSMUSG00000020363,Gfpt2,TRUE,TRUE,4,1,shared
ENSMUSG00000020364,Zfp354a,TRUE,TRUE,4,5,shared
ENSMUSG00000020366,Mapk9,TRUE,TRUE,4,8,shared
ENSMUSG00000020368,Canx,TRUE,TRUE,4,8,shared
ENSMUSG00000020372,Rack1,TRUE,TRUE,4,7,shared
ENSMUSG00000020374,Rasgef1c,TRUE,TRUE,4,7,shared
ENSMUSG00000020375,Rufy1,TRUE,TRUE,4,6,shared
ENSMUSG00000020376,Rnf130,TRUE,TRUE,4,7,shared
ENSMUSG00000020377,Ltc4s,TRUE,TRUE,3,5,shared
ENSMUSG00000020380,Rad50,TRUE,TRUE,4,6,shared
ENSMUSG00000020381,Mrnip,TRUE,TRUE,4,6,shared
ENSMUSG00000020385,Clk4,TRUE,TRUE,4,7,shared
ENSMUSG00000020386,Sar1b,TRUE,TRUE,4,5,shared
ENSMUSG00000020387,Jade2,TRUE,TRUE,4,7,shared
ENSMUSG00000020388,Pdlim4,TRUE,TRUE,4,6,shared
ENSMUSG00000020389,Cdkl3,TRUE,TRUE,4,5,shared
ENSMUSG00000020390,Ube2b,TRUE,TRUE,4,8,shared
ENSMUSG00000020392,Cdkn2aipnl,TRUE,TRUE,4,5,shared
ENSMUSG00000020393,Kremen1,TRUE,TRUE,4,5,shared
ENSMUSG00000020395,Itk,TRUE,TRUE,4,1,shared
ENSMUSG00000020396,Nefh,TRUE,TRUE,4,8,shared
ENSMUSG00000020397,Med7,TRUE,TRUE,4,5,shared
ENSMUSG00000020400,Tnip1,TRUE,TRUE,4,8,shared
ENSMUSG00000020402,Vdac1,TRUE,TRUE,4,8,shared
ENSMUSG00000020407,Upp1,TRUE,TRUE,4,6,shared
ENSMUSG00000020409,Slu7,TRUE,TRUE,4,7,shared
ENSMUSG00000020412,Ascc2,TRUE,TRUE,4,6,shared
ENSMUSG00000020413,Hus1,TRUE,TRUE,4,5,shared
ENSMUSG00000020415,Pttg1,TRUE,TRUE,4,6,shared
ENSMUSG00000020420,Zfp607a,TRUE,TRUE,2,3,shared
ENSMUSG00000020422,Tns3,TRUE,TRUE,4,7,shared
ENSMUSG00000020423,Btg2,TRUE,TRUE,4,5,shared
ENSMUSG00000020424,Castor1,TRUE,TRUE,4,5,shared
ENSMUSG00000020427,Igfbp3,TRUE,TRUE,4,7,shared
ENSMUSG00000020430,Pes1,TRUE,TRUE,4,5,shared
ENSMUSG00000020431,Adcy1,TRUE,TRUE,4,6,shared
ENSMUSG00000020432,Tcn2,TRUE,TRUE,4,7,shared
ENSMUSG00000020435,Osbp2,TRUE,TRUE,4,7,shared
ENSMUSG00000020436,Gabrg2,TRUE,TRUE,4,8,shared
ENSMUSG00000020437,Myo1g,TRUE,TRUE,3,1,shared
ENSMUSG00000020439,Smtn,TRUE,TRUE,4,7,shared
ENSMUSG00000020440,Arf5,TRUE,TRUE,4,8,shared
ENSMUSG00000020441,2310033P09Rik,TRUE,TRUE,4,5,shared
ENSMUSG00000020444,Guk1,TRUE,TRUE,4,8,shared
ENSMUSG00000020448,Rnf185,TRUE,TRUE,4,7,shared
ENSMUSG00000020451,Limk2,TRUE,TRUE,4,8,shared
ENSMUSG00000020453,Patz1,TRUE,TRUE,4,7,shared
ENSMUSG00000020454,Eif4enif1,TRUE,TRUE,4,6,shared
ENSMUSG00000020455,Trim11,TRUE,TRUE,4,5,shared
ENSMUSG00000020456,Ogdh,TRUE,TRUE,4,8,shared
ENSMUSG00000020457,Drg1,TRUE,TRUE,4,7,shared
ENSMUSG00000020458,Rtn4,TRUE,TRUE,4,8,shared
ENSMUSG00000020459,Mtif2,TRUE,TRUE,4,6,shared
ENSMUSG00000020460,Rps27a,TRUE,TRUE,4,8,shared
ENSMUSG00000020462,Cfap36,TRUE,TRUE,4,7,shared
ENSMUSG00000020463,Ppp4r3b,TRUE,TRUE,4,6,shared
ENSMUSG00000020464,Pnpt1,TRUE,TRUE,4,7,shared
ENSMUSG00000020467,Efemp1,TRUE,TRUE,4,7,shared
ENSMUSG00000020471,Pold2,TRUE,TRUE,4,6,shared
ENSMUSG00000020472,Zkscan17,TRUE,TRUE,4,5,shared
ENSMUSG00000020473,Aebp1,TRUE,TRUE,4,8,shared
ENSMUSG00000020474,Polm,TRUE,TRUE,4,5,shared
